id;name;register_number;phone;email;address;city;zip_code
35;Cliente 35;1,70514E+13;(96) 3874-4660;cliente35@example.com;Rua dos Ipes, 675;Curitiba;57001937
36;Cliente 36;08804605726259;(12) 4523-2448;cliente36@example.com;Rua das Flores, 563;Colombo;05258977
37;Cliente 37;5,56357E+13;(57) 9763-3470;cliente37@example.com;Rua das Hortansias, 867;Ponta Grossa;64517322
38;Cliente 38;1,40459E+13;(44) 3127-5526;cliente38@example.com;Rua das Araucarias, 198;Maringa;42574628
39;Cliente 39;8,99224E+13;(51) 6995-5676;cliente39@example.com;Rua dos Ipes, 863;Sao Jose dos Pinhais;51512256
40;Cliente 40;86757642435;(76) 3807-8511;cliente40@example.com;Avenida Brasil, 81;Londrina;71730819
41;Cliente 41;05241401736;(90) 3337-2965;cliente41@example.com;Rua das Hortansias, 368;Foz do Iguacu;75635963
42;Cliente 42;77708209834;(82) 1704-7800;cliente42@example.com;Avenida Brasil, 989;Maringa;19740086
43;Cliente 43;9,73209E+13;(31) 8246-4675;cliente43@example.com;Rua XV de Novembro, 121;Maringa;48335327
44;Cliente 44;62291126814;(78) 5651-4309;cliente44@example.com;Rua dos Ipes, 820;Sao Jose dos Pinhais;95909285
45;Cliente 45;5,80863E+13;(73) 1657-5552;cliente45@example.com;Rua Sao Paulo, 883;Cascavel;83174729
46;Cliente 46;23694246126;(57) 2203-1068;cliente46@example.com;Avenida Brasil, 579;Sao Jose dos Pinhais;67171053
47;Cliente 47;39843072484;(49) 9077-1377;cliente47@example.com;Rua XV de Novembro, 933;Londrina;67043445
48;Cliente 48;42681147612;(16) 3488-3520;cliente48@example.com;Avenida Brasil, 34;Araucaria;13698868
49;Cliente 49;39044488341;(77) 1228-1884;cliente49@example.com;Rua Tiradentes, 837;Pinhais;19636784
50;Cliente 50;82292569604;(71) 8961-5665;cliente50@example.com;Rua das Hortansias, 648;Araucaria;29724813
51;Cliente 51;9,531E+13;(46) 7743-4392;cliente51@example.com;Rua das Araucarias, 884;Sao Jose dos Pinhais;00909583
52;Cliente 52;4,49968E+13;(32) 5089-8453;cliente52@example.com;Rua XV de Novembro, 502;Maringa;67141712
53;Cliente 53;8,70065E+13;(70) 5530-5016;cliente53@example.com;Rua Sao Paulo, 682;Colombo;39111703
54;Cliente 54;96873967173;(79) 4923-8075;cliente54@example.com;Avenida Marechal Floriano, 90;Colombo;04020841
55;Cliente 55;3,47699E+13;(49) 2008-1698;cliente55@example.com;Avenida Marechal Floriano, 60;Londrina;63402581
56;Cliente 56;9,17918E+13;(75) 4483-5708;cliente56@example.com;Rua das Hortansias, 33;Araucaria;90609927
57;Cliente 57;6,67273E+13;(76) 5464-7064;cliente57@example.com;Rua das Araucarias, 549;Cascavel;17062674
58;Cliente 58;25434153986;(51) 9707-3016;cliente58@example.com;Rua Sao Paulo, 842;Ponta Grossa;35593571
59;Cliente 59;06274328197;(37) 1229-4615;cliente59@example.com;Rua dos Ipes, 488;Foz do Iguacu;68195121
60;Cliente 60;19959418398;(35) 2386-3735;cliente60@example.com;Rua das Palmeiras, 546;Londrina;98879449
61;Cliente 61;7,73947E+13;(59) 7376-7817;cliente61@example.com;Avenida Brasil, 203;Maringa;47741489
62;Cliente 62;8,25405E+13;(25) 1715-3807;cliente62@example.com;Rua das Hortansias, 597;Ponta Grossa;15078914
63;Cliente 63;05387586043087;(77) 5157-3090;cliente63@example.com;Rua das Palmeiras, 854;Sao Jose dos Pinhais;26839314
64;Cliente 64;05073432175;(29) 2241-2260;cliente64@example.com;Avenida Marechal Floriano, 251;Maringa;27506698
65;Cliente 65;6,71905E+13;(60) 1068-9765;cliente65@example.com;Avenida Brasil, 83;Londrina;10962328
66;Cliente 66;04089181334532;(13) 3887-2406;cliente66@example.com;Rua Sao Paulo, 917;Maringa;34005543
67;Cliente 67;3,37653E+13;(52) 2155-9492;cliente67@example.com;Rua Sao Paulo, 467;Colombo;14861617
68;Cliente 68;03155748395;(89) 5031-1907;cliente68@example.com;Rua dos Ipes, 231;Maringa;30424246
69;Cliente 69;4,4827E+13;(62) 8496-1277;cliente69@example.com;Rua Tiradentes, 863;Araucaria;78755329
70;Cliente 70;71719546505;(89) 7202-6781;cliente70@example.com;Rua dos Ipes, 216;Ponta Grossa;81909408
71;Cliente 71;57764871450;(49) 5272-5142;cliente71@example.com;Rua XV de Novembro, 667;Foz do Iguacu;43666479
72;Cliente 72;1,92908E+13;(84) 8963-2892;cliente72@example.com;Rua das Flores, 416;Cascavel;47048981
73;Cliente 73;1,28608E+13;(48) 3361-6790;cliente73@example.com;Rua das Palmeiras, 413;Ponta Grossa;31984956
74;Cliente 74;15642009188;(62) 3280-4955;cliente74@example.com;Rua Tiradentes, 684;Cascavel;31401176
75;Cliente 75;83049743635;(17) 1504-8286;cliente75@example.com;Rua dos Ipes, 602;Colombo;62612583
76;Cliente 76;94986918309;(44) 7577-2915;cliente76@example.com;Rua das Hortansias, 147;Curitiba;83628801
77;Cliente 77;4,64015E+13;(94) 3158-4956;cliente77@example.com;Rua das Palmeiras, 431;Sao Jose dos Pinhais;49731120
78;Cliente 78;9,74925E+13;(44) 7723-8040;cliente78@example.com;Rua Sao Paulo, 703;Araucaria;44126555
79;Cliente 79;54061132710;(13) 5569-7334;cliente79@example.com;Rua das Flores, 785;Ponta Grossa;81995053
80;Cliente 80;5,27324E+13;(99) 9933-9672;cliente80@example.com;Rua dos Ipes, 792;Londrina;73490402
81;Cliente 81;3,36244E+13;(66) 6150-4093;cliente81@example.com;Rua Sao Paulo, 206;Pinhais;87206156
82;Cliente 82;26818622770;(97) 9747-6576;cliente82@example.com;Avenida Marechal Floriano, 738;Pinhais;18055037
83;Cliente 83;21598225575;(21) 9457-9363;cliente83@example.com;Rua Tiradentes, 38;Londrina;30873590
84;Cliente 84;97318432298;(13) 5007-9113;cliente84@example.com;Avenida Marechal Floriano, 667;Londrina;53479494
85;Cliente 85;97933708423;(48) 5405-2372;cliente85@example.com;Rua das Palmeiras, 811;Maringa;04876886
86;Cliente 86;3,84181E+13;(44) 2567-3155;cliente86@example.com;Rua Sao Paulo, 995;Colombo;73765374
87;Cliente 87;63154300978;(62) 7415-9188;cliente87@example.com;Rua dos Ipes, 120;Sao Jose dos Pinhais;81032805
88;Cliente 88;09659427504;(43) 7246-7610;cliente88@example.com;Rua Tiradentes, 646;Curitiba;08207390
89;Cliente 89;05467439584066;(15) 7068-5710;cliente89@example.com;Rua das Palmeiras, 820;Curitiba;32595583
90;Cliente 90;01652305544618;(15) 5667-1594;cliente90@example.com;Rua Sao Paulo, 625;Foz do Iguacu;93710883
91;Cliente 91;42444463890;(19) 7504-9342;cliente91@example.com;Avenida Marechal Floriano, 275;Pinhais;28110860
92;Cliente 92;92768020101;(89) 8459-5520;cliente92@example.com;Rua das Flores, 733;Cascavel;37389666
93;Cliente 93;1,66608E+13;(35) 7558-7621;cliente93@example.com;Rua Tiradentes, 713;Colombo;74410176
94;Cliente 94;06934060870993;(82) 7904-5215;cliente94@example.com;Avenida Brasil, 917;Colombo;71685643
95;Cliente 95;4,16211E+13;(28) 9895-3595;cliente95@example.com;Rua das Flores, 547;Ponta Grossa;91344055
96;Cliente 96;7,88489E+13;(57) 3704-5365;cliente96@example.com;Rua das Hortansias, 201;Pinhais;42996627
97;Cliente 97;89368327660;(90) 1879-4832;cliente97@example.com;Rua Tiradentes, 926;Foz do Iguacu;50294317
98;Cliente 98;7,43747E+13;(59) 5348-6209;cliente98@example.com;Avenida Marechal Floriano, 982;Colombo;69550013
99;Cliente 99;7,80169E+13;(65) 2584-4892;cliente99@example.com;Rua dos Ipes, 240;Ponta Grossa;45736748
100;Cliente 100;5,91562E+13;(44) 5662-2675;cliente100@example.com;Rua das Flores, 926;Cascavel;47013987
101;Cliente 101;64425306519;(59) 8194-2371;cliente101@example.com;Rua dos Ipes, 145;Foz do Iguacu;04954136
102;Cliente 102;6,94705E+13;(41) 1661-2916;cliente102@example.com;Rua XV de Novembro, 696;Foz do Iguacu;81230837
103;Cliente 103;5,99552E+13;(91) 4199-9851;cliente103@example.com;Rua dos Ipes, 690;Cascavel;14762568
104;Cliente 104;41782874550;(46) 3732-8616;cliente104@example.com;Avenida Brasil, 66;Sao Jose dos Pinhais;10163044
105;Cliente 105;68419450135;(65) 8544-3064;cliente105@example.com;Avenida Marechal Floriano, 472;Cascavel;48564756
106;Cliente 106;39347004522;(17) 6532-7196;cliente106@example.com;Rua das Flores, 178;Londrina;95598184
107;Cliente 107;8,08245E+13;(15) 1746-8151;cliente107@example.com;Avenida Marechal Floriano, 741;Cascavel;62952196
108;Cliente 108;2,69772E+13;(85) 2631-9298;cliente108@example.com;Rua XV de Novembro, 755;Araucaria;73516923
109;Cliente 109;7,98171E+13;(36) 7696-6015;cliente109@example.com;Rua XV de Novembro, 532;Maringa;85128442
110;Cliente 110;72345764098;(59) 1509-1462;cliente110@example.com;Rua Tiradentes, 1000;Colombo;32877569
111;Cliente 111;9,22086E+13;(66) 8067-4972;cliente111@example.com;Rua XV de Novembro, 853;Ponta Grossa;07488407
112;Cliente 112;21177398077;(92) 2350-1145;cliente112@example.com;Rua das Palmeiras, 373;Ponta Grossa;52344835
113;Cliente 113;8,59232E+13;(52) 2814-5498;cliente113@example.com;Rua XV de Novembro, 230;Maringa;82918201
114;Cliente 114;50303219861;(93) 6792-5376;cliente114@example.com;Rua Sao Paulo, 820;Curitiba;38496617
115;Cliente 115;91276289166;(33) 9568-7486;cliente115@example.com;Rua das Flores, 655;Maringa;39199769
116;Cliente 116;66203756029;(51) 8730-1494;cliente116@example.com;Rua das Hortansias, 57;Colombo;82724942
117;Cliente 117;70657015480;(21) 3492-4002;cliente117@example.com;Rua Tiradentes, 252;Londrina;96679306
118;Cliente 118;48782554833;(77) 5722-7138;cliente118@example.com;Rua das Araucarias, 452;Colombo;27100022
119;Cliente 119;4,96898E+13;(94) 5349-3334;cliente119@example.com;Rua XV de Novembro, 376;Maringa;95781331
120;Cliente 120;82986999452;(89) 8248-7485;cliente120@example.com;Rua das Araucarias, 589;Sao Jose dos Pinhais;26053292
121;Cliente 121;35905188061;(79) 3790-7647;cliente121@example.com;Rua das Araucarias, 993;Maringa;02368077
122;Cliente 122;5,03978E+13;(27) 3627-2541;cliente122@example.com;Rua XV de Novembro, 175;Curitiba;02007605
123;Cliente 123;06699075032;(74) 5972-7912;cliente123@example.com;Avenida Brasil, 973;Colombo;44376446
124;Cliente 124;95291971984;(86) 2009-7745;cliente124@example.com;Rua das Hortansias, 662;Pinhais;29214150
125;Cliente 125;04469679934;(18) 3730-5900;cliente125@example.com;Rua dos Ipes, 389;Araucaria;99981095
126;Cliente 126;9,43281E+13;(13) 3826-8512;cliente126@example.com;Avenida Brasil, 221;Pinhais;54741912
127;Cliente 127;6,09209E+13;(77) 9332-1307;cliente127@example.com;Rua dos Ipes, 208;Curitiba;44032081
128;Cliente 128;6,57947E+13;(22) 4436-1108;cliente128@example.com;Avenida Marechal Floriano, 472;Ponta Grossa;68226842
129;Cliente 129;78971053413;(66) 1951-3377;cliente129@example.com;Rua das Hortansias, 384;Cascavel;39742508
130;Cliente 130;02023137331;(90) 1059-2325;cliente130@example.com;Rua das Flores, 26;Maringa;12913353
131;Cliente 131;3,23329E+13;(44) 3366-3337;cliente131@example.com;Rua Sao Paulo, 801;Pinhais;55097642
132;Cliente 132;02687030526;(87) 8952-3744;cliente132@example.com;Avenida Brasil, 576;Pinhais;48917734
133;Cliente 133;31368305604;(28) 8643-8356;cliente133@example.com;Rua Sao Paulo, 9;Maringa;53732437
134;Cliente 134;47066202203;(55) 4114-1991;cliente134@example.com;Rua das Palmeiras, 883;Foz do Iguacu;92086797
135;Cliente 135;8,37677E+13;(94) 4651-2205;cliente135@example.com;Rua das Araucarias, 933;Colombo;56938961
136;Cliente 136;3,05861E+13;(32) 9388-1401;cliente136@example.com;Rua das Araucarias, 793;Foz do Iguacu;89376706
137;Cliente 137;7,58321E+13;(17) 7535-5009;cliente137@example.com;Rua das Hortansias, 741;Araucaria;04461272
